farm_id,latitude,longitude,elevation_m,climate_zone
FARM_001,35.61810178271044,37.53571532049581,379.3972738151323,Mediterranean
FARM_002,38.952752369197306,12.291637642679557,94.98871211810129,Oceanic
FARM_003,42.992642186624025,20.05575058716044,368.63266000822045,Continental
FARM_004,30.846173685406505,26.099938613341237,472.3487190570876,Continental
FARM_005,32.72737450810651,-0.8297745073283096,186.90900933179196,Continental
FARM_006,30.10599457829576,-8.846878747929212,286.14859711627514,Oceanic
FARM_007,32.092407909780626,4.607232426760907,214.86282948216126,Continental
FARM_008,31.359096517992313,20.919300466654363,222.10789607022323,Semi-arid
FARM_009,38.88621853293064,-7.6774793640001135,323.39518335564725,Mediterranean
FARM_010,36.757488779543145,-9.336751942006673,473.99079005818373,Continental
